PERIODO,idnoremp,ciiu4,ACTNOM,Seccion,gastos_tot,GASPROGESAMB,ACTINV1,ACTINV2,ACTINV3,ACTINV4,ACTINV5,ACTINV6,ACTINV7,ACTINV8,ACTGAST1,ACTGAST2,ACTGAST3,ACTGAST4,ACTGAST5,ACTGAST6,ACTGAST7,ACTGAST8,ACTGAST9,PERSAMB
2021,14443,5612,Expendio por autoservicio de comidas preparadas,I2 Expendio de alimentos,4310694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,14444,5611,Expendio a la mesa de comidas preparadas,I2 Expendio de alimentos,388536295,775097,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1
2021,14445,5221,"Actividades de estaciones, vías y servicios complementarios para el transporte terrestre",H1 Auxiliares del transporte,7587819,36611,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
2021,14446,5223,"Actividades de aeropuertos, servicios de navegación aérea y demás actividades conexas al transporte aéreo",H1 Auxiliares del transporte,3298288,25600,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1
2021,15860,6810,Actividades inmobiliarias realizadas con bienes propios o arrendados,LN1 Inmobiliarias Y Alquileres,1795691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,15861,6820,Actividades inmobiliarias realizadas a cambio de una retribución o por contrata,LN1 Inmobiliarias Y Alquileres,4327146,1000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2021,14450,7112,Actividades de ingeniería y otras actividades conexas de consultoría técnica,"M1 Actividades profesionales, científicas",1534837,10000,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
2021,14451,7310,Publicidad,M2 Publicidad,2691319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,14452,8010,Actividades de servicios de sistemas de seguridad,N3 Obtención y suministro de personal,5494058,650,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2021,14454,8010,Actividades de seguridad privada,N3 Obtención y suministro de personal,69378759,13823,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2021,14455,8010,Actividades de seguridad privada,N3 Obtención y suministro de personal,7123277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,15863,8010,Actividades de seguridad privada,N3 Obtención y suministro de personal,5907915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,14456,8010,Actividades de seguridad privada,N3 Obtención y suministro de personal,22828429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,14457,8010,Actividades de seguridad privada,N3 Obtención y suministro de personal,46018837,5000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2021,14458,8129,Otras actividades de limpieza de edificios e instalaciones industriales,N3 Obtención y suministro de personal,24897288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,14459,8544,Educación de universidades,P Educación superior,20639316,15255,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2021,14460,8544,Educación de universidades,P Educación superior,7678606,4341,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2021,14461,8691,Actividades de apoyo diagnóstico,Q Salud humana,14279706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,14463,8691,Actividades de apoyo diagnóstico,Q Salud humana,22761462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,14465,8691,Actividades de apoyo diagnóstico,Q Salud humana,28205523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,14466,8610,"Actividades de hospitales y clínicas, con internación",Q Salud humana,123545671,1153707,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
2021,14470,9603,Pompas fúnebres y actividades relacionadas,S Otros Servicios,20812575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,14472,7112,Actividades de ingeniería y otras actividades conexas de consultoría técnica,"M1 Actividades profesionales, científicas",12529843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,14475,8610,"Actividades de hospitales y clínicas, con internación",Q Salud humana,55169858,38943,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
2021,14476,8691,Actividades de apoyo diagnóstico,Q Salud humana,23305695,22182,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2021,14477,5511,Alojamiento en hoteles,I1 Alojamiento,376839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,14478,8610,"Actividades de hospitales y clínicas, con internación",Q Salud humana,5761507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
