id_empresa,periodo,id_sector,sector_desc,gastos_totales,gasto_gestion_amb,contrata_personal_amb,realiza_inv_red_emision_aire,realiza_inv_ahorro_agua,realiza_inv_inst_med_agua,realiza_inv_disp_desechos,realiza_inv_protec_suelo,realiza_inv_evita_ruido_vibra,realiza_inv_energia_limp,realiza_otras_inv_amb,realiza_gasto_red_emision_aire,realiza_gasto_ahorro_agua,realiza_gasto_inst_med_agua,realiza_gasto_disp_desechos,realiza_gasto_protec_suelo,realiza_gasto_evita_ruido_vibra,realiza_gasto_terceros_amb,realiza_gasto_energia_limp,realiza_otros_gastos_amb,anio_inicio,id_sector_general,total_ingresos,personal_remunerado,gasto_remuneracion_personal,gasto_personal_total,personal_mujeres,personal_hombres,personal_ocupado,imp_ind_com,imp_otros,gasto_servicios_publicos,gasto_energia_electrica,gasto_gas_natural
10920,2021,M2,publicidad,"21.951.994,00","0,00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1964,M2,24551589,111,9207458,9261849,52,59,111,123068,155617,1859,54752,0
10921,2021,M2,publicidad,"136.810.795,00","0,00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,M2,273523025,5656,164065527,176122356,3294,2378,5672,1523489,951584,147327,151690,0
10922,2021,M2,publicidad,"6.531.099,00","0,00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1972,M2,6796771,34,992841,1023428,11,23,34,77961,361437,2420,54421,0
10924,2021,M2,publicidad,"5.551.251,00","0,00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1975,M2,7189736,16,1266977,1282975,7,9,16,88084,151016,1142,9198,0
10926,2021,N5,call center,"293.352.043,00","0,00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1976,N5,325167680,8416,245999516,251129823,5434,2982,8416,3333061,1858763,140308,1371238,7145
10927,2021,M2,publicidad,"3.033.502,00","0,00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1980,M2,2834854,39,1044251,1084735,29,11,40,27667,92400,3172,4033,862
10928,2021,M2,publicidad,"24.622.730,00","0,00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1981,M2,53444378,55,5020029,5639224,24,37,61,561429,682750,5733,967406,158
10929,2021,M2,publicidad,"46.797.076,00","0,00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,M2,51521810,350,28052759,28432963,353,0,353,525312,729730,3829,59062,0
10930,2021,M2,publicidad,"24.224.805,00","0,00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1971,M2,17937899,179,13110895,13110895,102,77,179,202885,194336,25408,80569,0
10932,2021,M2,publicidad,"65.658.682,00","0,00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970,M2,93279079,428,29033256,30115448,202,246,448,850426,59566,4178,69008,0
10933,2021,N3,obtencion y suministro de personal,"15.168.638,00","0,00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,N3,25575000,534,13754000,14079500,204,330,534,11478,103674,2396,14791,139
10934,2021,N3,obtencion y suministro de personal,"7.130.887,00","0,00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1987,N3,7353942,450,7051144,7051698,319,136,455,0,31340,0,583,0
10937,2021,N3,obtencion y suministro de personal,"18.190.119,00","0,00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1988,N3,20601881,546,13912314,15761987,355,191,546,25355,138287,1959,12114,58
10938,2021,N3,obtencion y suministro de personal,"115.332.172,00","0,00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1989,N3,124960467,4774,107621221,107621221,2627,2148,4775,178674,1189567,16181,36408,0
10939,2021,M1,"actividades profesionales, cientificas","11.408.848,00","0,00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1989,M1,8397143,40,3876236,3916488,36,4,40,65782,37198,906,24797,0
10940,2021,N3,obtencion y suministro de personal,"39.340.244,00","0,00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1990,N3,39675238,1342,35349520,36201307,714,633,1347,41809,455139,3825,9442,0
10941,2021,N3,obtencion y suministro de personal,"465.538,00","0,00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1990,N3,499133,15,354360,374704,7,8,15,4825,3032,0,0,0
10943,2021,N3,obtencion y suministro de personal,"4.666.837,00","0,00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1991,N3,4987450,252,4334976,4413218,201,51,252,130,22548,3500,9854,700
10944,2021,N3,obtencion y suministro de personal,"129.553.991,00","0,00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1991,N3,135553442,4019,126952714,126952714,1497,2522,4019,113358,74167,8582,12668,403
10945,2021,M1,"actividades profesionales, cientificas","4.402.957,00","0,00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1991,M1,2488370,11,1510083,2095517,7,6,13,5038,14937,0,0,0
10949,2021,N3,obtencion y suministro de personal,"96.054.767,00","0,00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1992,N3,105651479,3372,95341106,95511517,1931,1441,3372,97778,481514,3573,15759,0
10950,2021,M1,"actividades profesionales, cientificas","5.058.566,00","0,00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1992,M1,4576440,129,3911009,4362054,40,90,130,45145,29007,165,1279,0
10952,2021,N3,obtencion y suministro de personal,"112.695.321,00","12.350,00",0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1992,N3,121484863,4618,98411879,100647834,3362,1256,4618,1021585,533798,5099,60578,12
10954,2021,N3,obtencion y suministro de personal,"28.151.263,00","0,00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1993,N3,32650326,707,27611948,27640490,405,302,707,32405,126035,2160,2040,60
10955,2021,N3,obtencion y suministro de personal,"11.858.746,00","0,00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1993,N3,11624532,496,11458264,11462679,288,209,497,10098,51206,2046,6131,0
10956,2021,N3,obtencion y suministro de personal,"91.668.747,00","0,00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1994,N3,94139524,3504,84253941,84406383,1465,2039,3504,70416,13386,376,7779,0
10960,2021,N3,obtencion y suministro de personal,"32.157.810,00","0,00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1993,N3,17573667,506,13510356,14223984,250,257,507,20159,8111,2727,4751,323
10963,2021,N3,obtencion y suministro de personal,"1.166.020,00","0,00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1994,N3,831801,80,530499,548311,42,39,81,1402,329,0,83,0
10964,2021,N3,obtencion y suministro de personal,"43.732.419,00","0,00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1994,N3,44199306,1962,38798454,40690832,875,1087,1962,37683,229203,2188,12720,0
10965,2021,N3,obtencion y suministro de personal,"116.255.651,00","0,00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1994,N3,118229363,3024,114739577,114739577,1186,1838,3024,109992,509464,505,2310,0
10966,2021,N3,obtencion y suministro de personal,"7.083.272,00","0,00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,N3,7604006,100,6317380,6432544,43,57,100,73290,35169,0,0,0
10968,2021,N3,obtencion y suministro de personal,"7.476.897,00","0,00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1998,N3,9636057,332,6869425,7040054,154,180,334,6803,37327,299,711,0
