id_empresa,anio_inicio,periodo,id_sector_general,total_ingresos,personal_remunerado,gasto_remuneracion_personal,gasto_personal_total,personal_mujeres,personal_hombres,personal_ocupado,imp_ind_com,imp_otros,gasto_servicios_publicos,gasto_energia_electrica,gasto_gas_natural
15298,1973,2022,I1,3294872,44,1056424,1129624,29,15,44,5142,127021,129992,352908,0
15299,2019,2022,I2,5112900,21,829391,859200,19,4,23,13661,15690,24712,135778,1536
15300,1992,2022,I2,712537,0,0,0,3,1,4,4007,7835,12703,20760,7598
15302,1992,2022,I1,119099191,575,15378591,17750608,284,291,575,993309,290787,1311194,4114317,552476
15303,1987,2022,P,60366421,527,29795794,30139833,282,245,527,695743,514628,180789,908118,197
15304,2012,2022,I1,20254492,113,3507564,3679834,86,27,113,116366,176709,273025,805992,112821
15305,1996,2022,N3,16431772,541,12486862,12515013,322,219,541,4633,73290,5820,29300,0
15306,1996,2022,H1,12587396,50,3338070,3443176,15,35,50,95554,48158,13478,203145,0
15307,2000,2022,N3,239020,223,4898597,4901770,119,107,226,1131,0,0,5709,0
15309,2000,2022,I1,16026754,82,2162872,2200840,52,32,84,27840,18426,92360,328360,257976
15310,2008,2022,I1,19208799,126,5052200,5215556,85,41,126,198446,102881,215910,723948,119754
15311,1987,2022,Q,6169779,57,1929169,2132963,50,7,57,0,19547,12295,48798,0
17924,2010,2022,J3,8229033,79,2932099,3247096,42,37,79,48781,2462,2291,182855,0
17925,2007,2022,N2,10118947,39,1788495,1892061,29,10,39,59179,25677,13589,20457,0
19132,2013,2022,I1,3208485,15,263242,284302,13,3,16,2760,2008,85703,85996,9755
19727,2007,2022,I1,3912816,14,609519,625809,9,8,17,770,37000,1028,177013,3102
20246,2017,2022,I1,4867976,23,702997,740937,14,11,25,29182,7230,52769,207205,0
20247,2019,2022,I1,5842224,25,810748,843732,23,7,30,33658,19435,9809,191838,36534
20590,1984,2022,I2,14002313,100,3523848,3919854,60,43,103,43652,26786,82640,147869,0
21079,2018,2022,N3,8516090,387,7340115,7767397,271,116,387,3404,1967,330,8423,0
15313,1993,2022,Q,91314134,880,28634738,29341392,619,261,880,52355,304628,167117,1783907,29650
15316,1976,2022,Q,18090641,280,5879721,5879721,165,124,289,7129,317467,82371,707536,5126
15929,2012,2022,Q,18840000,197,7448762,7699508,156,44,200,0,5195,65250,300319,7159
15317,2001,2022,Q,66270320,499,14769869,15174559,390,109,499,14673,157678,193154,1243804,41795
15319,2001,2022,Q,10249056,75,2611724,2682525,47,28,75,107,42504,109471,270879,528
15321,2007,2022,Q,8665020,138,3477096,3477096,100,38,138,3765,358946,77366,334022,16024
15322,2006,2022,Q,9549151,155,5120291,5128181,110,45,155,0,52633,5133,267071,825
15323,1999,2022,Q,28357988,119,3141392,3302852,85,34,119,20000,3920,13164,86601,0
15324,0,2022,I1,NA,NA,0,0,NA,NA,NA,0,0,0,0,0
15326,2011,2022,N3,10862822,428,8124848,8186023,249,180,429,9535,41398,987,1800,0
15327,2013,2022,S,3669852,73,1515483,1609111,67,6,73,44038,64796,30779,287776,2423
15328,2012,2022,Q,17598509,160,4015812,4217678,90,70,160,889,32062,55184,357428,665
15330,2010,2022,J3,3550839,7,397835,399308,21,24,45,21828,21799,2471,15581,75
15332,2003,2022,P,24894717,214,8282247,8497892,119,95,214,149270,317539,44894,574591,493
19196,1995,2022,J3,3499253,30,834751,871520,11,23,34,48564,2500,598,537090,525
18534,2005,2022,H1,12013735,106,8549853,8929392,22,85,107,7401,37299,3326,6592,0
18535,2005,2022,S,1521908,49,803212,866918,32,19,51,14457,6027,0,0,0
18536,2013,2022,R,32032743,211,5006159,5094343,139,86,225,140000,24851,60811,563375,0
18538,2011,2022,N3,39367822,1651,36393841,37270227,687,964,1651,28929,165859,1470,26774,0
18539,0,2022,J0,NA,NA,0,0,NA,NA,NA,0,0,0,0,0
19134,2001,2022,Q,35744897,215,6356678,6574461,181,34,215,3820,118594,60137,312461,4588
19135,2004,2022,Q,101192896,765,36175446,36842893,528,237,765,26209,419241,10603,46949,43122
19136,2008,2022,Q,22925104,146,6774681,6776462,94,61,155,1565,36328,29147,404896,7689
