id_empresa,periodo,id_sector,sector_desc,gastos_totales,gasto_gestion_amb,realiza_inv_red_emision_aire,realiza_inv_ahorro_agua,realiza_inv_inst_med_agua,realiza_inv_disp_desechos,realiza_inv_protec_suelo,realiza_inv_evita_ruido_vibra,realiza_inv_energia_limp,realiza_otras_inv_amb,realiza_gasto_red_emision_aire,realiza_gasto_ahorro_agua,realiza_gasto_inst_med_agua,realiza_gasto_disp_desechos,realiza_gasto_protec_suelo,realiza_gasto_evita_ruido_vibra,realiza_gasto_terceros_amb,realiza_gasto_energia_limp,realiza_otros_gastos_amb,anio_inicio,id_sector_general,total_ingresos,personal_remunerado,gasto_remuneracion_personal,gasto_personal_total,personal_mujeres,personal_hombres,personal_ocupado,imp_ind_com,imp_otros,gasto_servicios_publicos,gasto_energia_electrica,gasto_gas_natural
10453,2020,H1,auxiliares del transporte,780644684,11363,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1995.0,H1,666175014,545.0,36677974.0,38419733.0,246.0,367.0,613.0,2960817,2611863,613544,10289922,0
15306,2020,H1,auxiliares del transporte,5608419,11000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1996.0,H1,7810978,47.0,2744236.0,2814053.0,18.0,29.0,47.0,57156,27817,39594,167047,0
10230,2020,H1,auxiliares del transporte,7497746,10000,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,2000.0,H1,7518107,111.0,2500896.0,2619913.0,11.0,100.0,111.0,55019,115411,0,125907,0
14271,2020,H1,auxiliares del transporte,2136256,10000,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1988.0,H1,2137997,61.0,1095548.0,1226364.0,11.0,52.0,63.0,47038,16524,4524,4667,0
18594,2020,H1,auxiliares del transporte,11271669,9994,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1991.0,H1,13006765,91.0,2761139.0,3044108.0,18.0,73.0,91.0,70983,63022,7927,69305,0
14676,2020,H1,auxiliares del transporte,3413913,9777,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2002.0,H1,6311990,11.0,578952.0,622939.0,3.0,12.0,15.0,55166,47296,6152,45635,0
10424,2020,H1,auxiliares del transporte,17867158,9729,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1996.0,H1,19890400,161.0,5197022.0,6201399.0,63.0,107.0,170.0,84680,138571,42569,863397,0
18018,2020,H1,auxiliares del transporte,24823619,7871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2011.0,H1,40207451,0.0,0.0,0.0,0.0,1.0,1.0,393580,194990,0,1347,0
15072,2020,H1,auxiliares del transporte,39700443,7748,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1985.0,H1,40640160,147.0,6051485.0,6227574.0,18.0,129.0,147.0,446787,644666,30978,1090194,0
14586,2020,H1,auxiliares del transporte,4987720,7500,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1993.0,H1,6241235,56.0,1451539.0,1451539.0,11.0,45.0,56.0,34414,255431,5210,46669,0
