id_empresa,periodo,id_sector,sector_desc,gastos_totales,gasto_gestion_amb,contrata_personal_amb,realiza_inv_red_emision_aire,realiza_inv_ahorro_agua,realiza_inv_inst_med_agua,realiza_inv_disp_desechos,realiza_inv_protec_suelo,realiza_inv_evita_ruido_vibra,realiza_inv_energia_limp,realiza_otras_inv_amb,realiza_gasto_red_emision_aire,realiza_gasto_ahorro_agua,realiza_gasto_inst_med_agua,realiza_gasto_disp_desechos,realiza_gasto_protec_suelo,realiza_gasto_evita_ruido_vibra,realiza_gasto_terceros_amb,realiza_gasto_energia_limp,realiza_otros_gastos_amb,anio_inicio,id_sector_general,total_ingresos,personal_remunerado,gasto_remuneracion_personal,gasto_personal_total,personal_mujeres,personal_hombres,personal_ocupado,imp_ind_com,imp_otros,gasto_servicios_publicos,gasto_energia_electrica,gasto_gas_natural
13198,2022,Q,salud humana,6882434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,Q,7705584.0,15.0,538425,554739,13.0,2.0,15.0,24000,7139,5479,22263,0
18925,2022,Q,salud humana,5967167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,Q,6171593.0,53.0,1030059,1084094,38.0,15.0,53.0,11677,0,3376,19027,33
18926,2022,Q,salud humana,3281947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,Q,3560731.0,52.0,893886,980366,48.0,4.0,52.0,3182,3399,10112,69774,0
12335,2022,Q,salud humana,12236873,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2006,Q,13440869.0,164.0,5908383,6088350,132.0,32.0,164.0,8425,29650,12163,57423,81
20022,2022,Q,salud humana,7601094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,Q,10690985.0,37.0,1771069,1814461,32.0,13.0,45.0,0,42041,22437,154465,0
20023,2022,Q,salud humana,27428947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,Q,28225662.0,200.0,5279423,6580280,159.0,56.0,215.0,73036,143483,28996,238410,384
20025,2022,Q,salud humana,565671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003,Q,590233.0,2.0,2847,3632,7.0,0.0,7.0,0,5546,4145,1457,646
20029,2022,Q,salud humana,5518293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005,Q,8619294.0,25.0,1718609,1787845,20.0,5.0,25.0,2810,32012,3451,22118,0
20030,2022,Q,salud humana,13087781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1994,Q,15425088.0,197.0,4900646,5035303,190.0,18.0,208.0,31207,7608,23833,52952,182
20032,2022,Q,salud humana,2124005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1993,Q,1246967.0,19.0,1095087,1095087,14.0,5.0,19.0,19839,16860,2473,36274,0
20034,2022,Q,salud humana,3659317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1993,Q,3273074.0,21.0,1607793,1638198,16.0,5.0,21.0,8946,12470,2947,50289,23
20036,2022,Q,salud humana,5454966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,Q,4955120.0,24.0,694368,719280,22.0,2.0,24.0,0,7291,20984,135380,0
20037,2022,Q,salud humana,4363846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,Q,5712578.0,36.0,1782228,1910096,31.0,5.0,36.0,40102,30941,4914,82135,11
20040,2022,Q,salud humana,5243845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,Q,7293711.0,11.0,339015,350665,9.0,2.0,11.0,20253,23087,654,3859,0
13484,2022,Q,salud humana,3177223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1987,Q,2285171.0,50.0,1568278,1658088,42.0,8.0,50.0,1561,4922,596,2703,85
13489,2022,Q,salud humana,8967576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003,Q,7626400.0,142.0,5045944,5151727,113.0,29.0,142.0,2811,19701,9249,132620,32
13525,2022,Q,salud humana,4738803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,Q,4768470.0,12.0,704234,712393,10.0,2.0,12.0,509,14754,0,0,0
13595,2022,Q,salud humana,6284187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,Q,7504441.0,40.0,1288016,1334037,34.0,8.0,42.0,902,666007,50408,68416,2227
18440,2022,Q,salud humana,44287736,25000,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,2003,Q,31700816.0,318.0,14205025,14205025,322.0,0.0,322.0,317164,36268,77184,426416,0
11394,2022,Q,salud humana,3536151,7631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1990,Q,4771024.0,51.0,1684745,1763611,42.0,9.0,51.0,53626,12649,4352,19093,559
14032,2022,Q,salud humana,12345454,7302,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1992,Q,10488161.0,105.0,3383380,3512768,91.0,14.0,105.0,0,6222,28756,86185,0
19968,2022,Q,salud humana,4275229,6384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2004,Q,4908738.0,5.0,497781,508581,58.0,10.0,68.0,27318,19150,15397,35328,0
